Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1040814643852259328,"@ldacr ¡Bomba! 
En 1909 en Alajuela
nació un orgullo tico,
Alejandro le puso su mama.
Y es él, el padre de este equipo.

Benditos sean mis tatas,
por desde pequeño criarme manudo.
Y bendita sea la Liga,
Por enseñarme a amar este escudo.

¡Uyuyuy Bajura!",L.D.A., @ldacr ,Sat Sep 15 04:08:43 +0000 2018,0,7,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040814691461816320,"@ldacr ¡Bomba! 
Ser Tico es lo mejor ??, y lo digo sin pena alguna; porque no hay nada más lindo, que ser #ManudoDesdeLaCuna",L.D.A., @ldacr ,Sat Sep 15 04:08:54 +0000 2018,0,2,Spanish,Twitter for iPhone,Retweet,,0,1,1
1040814747514548224,"@ldacr Bomba  
no hay sentimiento más lindo q ir a la catedral 
Deseo  celebrar con mi liga su camino a la final 
Sabemos q no es fácil hay q ir paso a paso 
Pero este domingo McDonald nos regala otro golazo 
Esta afición q apoya y apoya 
Si no anota Roro fijo anota moya",L.D.A., @ldacr ,Sat Sep 15 04:09:07 +0000 2018,0,5,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040814828011638784,"@ldacr ¡Bomba! A Costa Rica la llevo en el alma a la liga en el corazón, que Diosito nos conceda volver a ser Campeón.",L.D.A., @ldacr ,Sat Sep 15 04:09:27 +0000 2018,0,6,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040815069913919489,@ldacr BOMBA ayer pasé pase por la casa de León  y se  oía un cántico que decía la liga  campeon,L.D.A., @ldacr ,Sat Sep 15 04:10:24 +0000 2018,0,1,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040815107297738752,@ldacr Bomba! Yo quiero ir a ver a mi Liga yo quiero ir a ver a mi león que yo se que este año este año voy a ser campeón!! ?????,L.D.A., @ldacr ,Sat Sep 15 04:10:33 +0000 2018,0,1,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040815139891699712,"@ldacr Bomba! Desde la catedral del fútbol se oye latir UN corazón, el de Alejandro Morera y la mejor afición!!!! Uyuuy bajura!!!",L.D.A., @ldacr ,Sat Sep 15 04:10:41 +0000 2018,0,1,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040815204047745024,"@ldacr Bombaaa... Algunos dicen que soy manudo desde la cuna, otros que desde el vientre, no recuerdo en qué momento tuve esta fortuna, lo que sí estoy seguro es que siendo liguista debemos alentar desde la tribuna. ¡Uyuyuy bajura!",L.D.A., @ldacr ,Sat Sep 15 04:10:56 +0000 2018,0,1,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040815283240353794,"@ldacr ¡Bomba!

El árbol cuando nace,
nace hojita por hojita.
Así comienza el amor
por mi Liga querida. 

¡Uyuyuy bajura!",L.D.A., @ldacr ,Sat Sep 15 04:11:15 +0000 2018,0,3,Spanish,Twitter for iPhone,Retweet,,0,0,1
1040825420625707008,"Buenas noches Manudos, ya falta poco para volvernos a ver en la Catedral. ????",L.D.A., @ldacr ,Sat Sep 15 04:51:32 +0000 2018,167,4,Spanish,Twitter for iPhone,Tweet,,0,0,0
1040970449709137921,"Nuestras boleterías y las Ligastore están abiertas desde las 9 a.m. hasta las 5 p.m. 
Nos vemos este domingo.  ???? https://t.co/1ntsaKpC5p",L.D.A., @ldacr ,Sat Sep 15 14:27:50 +0000 2018,54,3,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041019627957112832,"??Felices 197 años de independencia, Costa Rica ¡Que vivan siempre el trabajo y la paz! ¡Viva Costa Rica! ??? https://t.co/HXuDn8i4NU",L.D.A., @ldacr ,Sat Sep 15 17:43:15 +0000 2018,391,46,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041023994667966466,Atención para los que participaron ???? #NosVemosEnLaCatedral https://t.co/puxDqZFk2T,L.D.A., @ldacr ,Sat Sep 15 18:00:36 +0000 2018,33,0,Spanish,Twitter for iPhone,Tweet,,1,1,0
1041049739930808320,"Este es el movimiento de venta de las nuevas gorras. Pero no se asusten, ya recargamos. ? https://t.co/co1keAqcq6",L.D.A., @ldacr ,Sat Sep 15 19:42:54 +0000 2018,160,6,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041059243015786497,"@Hanzel_89 Hola Manudo, esa es las más cotizada. A como ingresa, prácticamente es la primera en agotarse. ??
Le recomendamos comprarla en https://t.co/FsIwMzb0s6 ?????",L.D.A., @ldacr ,Sat Sep 15 20:20:40 +0000 2018,1,0,Spanish,Twitter for iPhone,Reply,,1,0,1
1041060727124107264,@Bryancoto7 Pronto llegará una línea nueva diseños diferentes. ?,L.D.A., @ldacr ,Sat Sep 15 20:26:33 +0000 2018,2,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1041095625415290881,@robertosolanom Acá le compartimos el enlace: https://t.co/FsIwMzb0s6,L.D.A., @ldacr ,Sat Sep 15 22:45:14 +0000 2018,2,0,Spanish,Twitter for iPhone,Reply,,1,0,1
1041106913663037440,@robertosolanom ??,L.D.A., @ldacr ,Sat Sep 15 23:30:05 +0000 2018,0,0,Undetermined,Twitter for iPhone,Reply,,0,0,1
1041334397709033474,"¡Buenos días, Manudos! Hoy juega el León ? ¡Los esperamos en La Catedral! ??????",L.D.A., @ldacr ,Sun Sep 16 14:34:02 +0000 2018,302,10,Spanish,Twitter for iPhone,Tweet,,0,0,0
1041337723007721472,@ldacr A llenar  la cátedra  del  buen futbol,L.D.A., @ldacr ,Sun Sep 16 14:47:14 +0000 2018,0,1,Spanish,Twitter for iPhone,Retweet,,0,0,1
1041339704069812224,@jcorderos85 @FannyT_LN @focampo13 Claro que sí. El sector Familiar es lo que más le conviene. ?? https://t.co/GYSF6Bhf6R,L.D.A., @ldacr ,Sun Sep 16 14:55:07 +0000 2018,7,0,Spanish,Twitter for iPhone,Reply,Photo,0,0,3
1041348593607745536,"Ya venimos con Corazón Manudo, entérese de todo sobre El León ? 
? Canal 6 https://t.co/VkQsVQJXRb",L.D.A., @ldacr ,Sun Sep 16 15:30:26 +0000 2018,54,1,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041349036853420033,"?? La Liga vs Guadalupe F.C.
? Este domingo.
? 5:05 p.m.
? https://t.co/eo2nYmIy4n 
? Estadio Alejandro Morera Soto.
? ¡Dale León! https://t.co/81bC99AyhG",L.D.A., @ldacr ,Sun Sep 16 15:32:12 +0000 2018,64,7,Spanish,Twitter for iPhone,Tweet,Photo,1,0,0
1041374484392030211,"¡Llenemos la Catedral esta tarde! ? Nos vemos, manudos ???? https://t.co/ScrBQ4YpV2",L.D.A., @ldacr ,Sun Sep 16 17:13:19 +0000 2018,86,6,Spanish,Twitter for iPhone,Tweet,Video,0,0,0
1041407982653849601,Los 3 puntos de hoy son vitales para lograr nuestro objetivo #VamosLeón ?????? https://t.co/fxNCgXXLVQ,L.D.A., @ldacr ,Sun Sep 16 19:26:26 +0000 2018,89,2,Spanish,Twitter for iPhone,Tweet,Video,0,1,0
1041428158619238401,"@gsalazarcr Claro que sí, contactamos a los 5 ganadores por medio de un mensaje privado ??",L.D.A., @ldacr ,Sun Sep 16 20:46:36 +0000 2018,0,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1041430656692248576,"?? Después del partido vamos todos a Chiwake, la mejor comida peruana ??? https://t.co/anTRwERZ2i",L.D.A., @ldacr ,Sun Sep 16 20:56:32 +0000 2018,24,1,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041448740157054977,Restaurante Chiwake les presenta la alineación del juego y lo más reciente sobre Maalique Foster ?? ???? https://t.co/eP5v3Ko9ns ? https://t.co/xdjK3k5NtX,L.D.A., @ldacr ,Sun Sep 16 22:08:23 +0000 2018,103,11,Spanish,Twitter for iPhone,Tweet,Photo,1,0,0
